row,col,id,fullname,sample,type,site,season,symbstate,symbstate_rev,density,all_id
D,3,D3,TR5AS,20,coral,RI,Summer,Aposymbiotic,Aposymbiotic,4.18,C-RI-S-Apo
E,3,E3,TC1SS,21,coral,CL,Summer,Symbiotic,Symbiotic,90.86,C-CL-S-Sym
F,3,F3,TC2SS,22,coral,CL,Summer,Symbiotic,Symbiotic,69.99,C-CL-S-Sym
G,3,G3,TC3SS,23,coral,CL,Summer,Symbiotic,Symbiotic,2.13,C-CL-S-Sym
H,3,H3,TC4SS,24,coral,CL,Summer,Symbiotic,Symbiotic,89.99,C-CL-S-Sym
A,4,A4,TC5SS,25,coral,CL,Summer,Symbiotic,Symbiotic,15.21,C-CL-S-Sym
B,4,B4,TC1AS,26,coral,CL,Summer,Aposymbiotic,Symbiotic,16.39,C-CL-S-Apo
C,4,C4,TC2AS,27,coral,CL,Summer,Aposymbiotic,Symbiotic,35.36,C-CL-S-Apo
D,4,D4,TC3AS,28,coral,CL,Summer,Aposymbiotic,Symbiotic,69.72,C-CL-S-Apo
E,4,E4,TC4AS,29,coral,CL,Summer,Aposymbiotic,Aposymbiotic,76.41,C-CL-S-Apo
F,4,F4,TC5AS,30,coral,CL,Summer,Aposymbiotic,Symbiotic,31.45,C-CL-S-Apo
G,4,G4,SN1S,31,sediment,NR,Summer,NA,NA,NA,S-NR-S-NA
H,4,H4,SN2S,32,sediment,NR,Summer,NA,NA,NA,S-NR-S-NA
B,5,B5,SR1S,34,sediment,RI,Summer,NA,NA,NA,S-RI-S-NA
C,5,C5,SR2S,35,sediment,RI,Summer,NA,NA,NA,S-RI-S-NA
D,5,D5,SR3S,36,sediment,RI,Summer,NA,NA,NA,S-RI-S-NA
E,5,E5,SC1S,37,sediment,CL,Summer,NA,NA,NA,S-CL-S-NA
F,5,F5,SC2S,38,sediment,CL,Summer,NA,NA,NA,S-CL-S-NA
G,5,G5,SC3S,39,sediment,CL,Summer,NA,NA,NA,S-CL-S-NA
H,5,H5,WN1S,40,seawater,NR,Summer,NA,NA,NA,W-NR-S-NA
A,6,A6,WN2S,41,seawater,NR,Summer,NA,NA,NA,W-NR-S-NA
B,6,B6,WN3S,42,seawater,NR,Summer,NA,NA,NA,W-NR-S-NA
C,6,C6,WR1S,43,seawater,RI,Summer,NA,NA,NA,W-RI-S-NA
D,6,D6,WR2S,44,seawater,RI,Summer,NA,NA,NA,W-RI-S-NA
E,6,E6,WR3S,45,seawater,RI,Summer,NA,NA,NA,W-RI-S-NA
F,6,F6,WC1S,46,seawater,CL,Summer,NA,NA,NA,W-CL-S-NA
A,11,A11,WC2S,47,seawater,CL,Summer,NA,NA,NA,W-CL-S-NA
H,6,H6,WC3S,48,seawater,CL,Summer,NA,NA,NA,W-CL-S-NA
A,7,A7,TN1SF,49,coral,NR,Fall,Symbiotic,Symbiotic,79.01,C-NR-F-Sym
B,7,B7,TN2SF,50,coral,NR,Fall,Symbiotic,Symbiotic,74.85,C-NR-F-Sym
C,7,C7,TN3SF,51,coral,NR,Fall,Symbiotic,Symbiotic,41.02,C-NR-F-Sym
E,7,E7,TN1AF,53,coral,NR,Fall,Aposymbiotic,Aposymbiotic,4.34,C-NR-F-Apo
F,7,F7,TN2AF,54,coral,NR,Fall,Aposymbiotic,Aposymbiotic,0,C-NR-F-Apo
H,7,H7,TN4AF,56,coral,NR,Fall,Aposymbiotic,Aposymbiotic,0.69,C-NR-F-Apo
